param,coef,or,p
Intercept,-0.021452112631543403,0.9787763473704837,0.9437635003427731
"C(race_strat, Treatment('White'))[T.Asian]",0.06764634239667273,1.0699868325784778,0.8398754588557098
"C(race_strat, Treatment('White'))[T.Black]",-0.6084098778777609,0.5442155506039725,0.00024325866649132754
C(nodule_burden_cat)[T.5+],0.31110033655962416,1.3649261663114138,0.043954292744861304
C(nodule_burden_cat)[T.solitary],-0.5499108392436498,0.5770012539552962,0.016964314782695195
C(bethesda_bucket)[T.II_benign],-1.1324160888768184,0.3222537214566587,7.082714279991928e-11
C(bethesda_bucket)[T.IV_FN],0.027975219010311282,1.0283702000743384,0.8782546874079146
C(bethesda_bucket)[T.I_nondiagnostic],-0.8741172749808237,0.4172301566707853,0.005303870253332844
C(bethesda_bucket)[T.VI_malig],1.198048931732742,3.3136454631476244,1.340268682113036e-10
C(bethesda_bucket)[T.V_susp_malig],1.8212079291928702,6.179318122350471,1.8009244270628872e-07
C(bethesda_bucket)[T.missing],-0.31148737839811413,0.7323568539636847,0.0926543772793687
C(sex)[T.male],0.325027403172357,1.3840685733307532,0.006691906581223429
C(surg_procedure_type)[T.isthmusectomy],-0.06504817975466153,0.9370223167845012,0.9526464238987967
C(surg_procedure_type)[T.other],-1.0375424704578142,0.3543243754925878,0.1016759046283768
C(surg_procedure_type)[T.total_thyroidectomy],0.9190845026461797,2.5069941924660752,1.0224001720052862e-19
C(surg_procedure_type)[T.unknown],-0.057797476758395375,0.9438410778366142,0.968735899896907
"C(race_strat, Treatment('White'))[T.Asian]:C(nodule_burden_cat)[T.5+]",-0.08432598540044821,0.9191315837759761,0.8450763734243099
"C(race_strat, Treatment('White'))[T.Black]:C(nodule_burden_cat)[T.5+]",-0.14996245757578153,0.8607402900955999,0.4726617426556372
"C(race_strat, Treatment('White'))[T.Asian]:C(nodule_burden_cat)[T.solitary]",0.3457201078145261,1.4130070708281395,0.5492628595015274
"C(race_strat, Treatment('White'))[T.Black]:C(nodule_burden_cat)[T.solitary]",0.4887007055604208,1.6301967377810278,0.18571249560599712
max_tr_int,0.22412047562448853,1.2512217520703297,5.375863972698597e-09
had_any_genetics,0.4705639039483557,1.6008966906972926,0.0004100808004007103
had_any_nm,0.9840616749346375,2.6753004048859412,1.465347719191924e-17
has_clt,-0.025029027061481718,0.9752816020584321,0.8321918782980693
has_mng,-1.0643204467239649,0.3449621953246965,5.954994690190729e-23
has_graves,-2.4199728030946237,0.08892403588508899,4.788470208594009e-11
has_follicular_adenoma,-1.1652635599395373,0.3118404625474226,2.557514110870232e-11
had_repeat_fna,-0.14902576885353758,0.861546913536677,0.3891466087669817
n_fnas_total,0.06293484786995324,1.0649574527245365,0.4309853553220312
days_us_to_surg_approx,-0.07428697027404281,0.9284052309061092,0.0004677470210962488
age_at_surgery,-0.013303160015739812,0.9867849359332698,6.274417027169222e-05
surg_year,-0.008308877437500004,0.9917255458789527,0.642887788645248
