mediator,type,race_target,scope,indirect_median,indirect_winsor_mean,ci_lo,ci_hi
n_nodules_total,continuous,Black,univariate_black_vs_white,-0.01122961681925946,-0.011912783433477698,-0.024683522642298228,-0.0021970335119910296
had_any_genetics,binary,Black,univariate_black_vs_white,-6.946213922033471,-7.840740591574762,-18.9501029033996,-2.208560232589696
had_any_nm,binary,Black,univariate_black_vs_white,-4.074761796507598,-4.744896032185669,-13.478151994265268,-1.4644573068289097
n_fnas_total,continuous,Black,univariate_black_vs_white,-0.001250762524151255,-0.001489361070643677,-0.009016973275771148,0.004834573434199434
days_us_to_surg_approx,continuous,Black,univariate_black_vs_white,-0.03479946962973476,-0.03557132924055148,-0.05689153351459562,-0.018358046357164332
has_mng,binary,Black,univariate_black_vs_white,-0.5299888241135844,-0.5339663867601422,-0.6902076452828299,-0.3984597840012353
has_clt,binary,Black,univariate_black_vs_white,-0.0331433501571728,-0.03276190885882708,-0.19378706332746357,0.14682632181613406
has_graves,binary,Black,univariate_black_vs_white,-0.8192372622142979,-0.8613202008205525,-1.8452207080568857,-0.15011403089414804
n_nodules_total,continuous,Asian,univariate_asian_vs_white,-0.005138357275407724,-0.005782096272556338,-0.02055038255304762,0.005295628643085163
had_any_genetics,binary,Asian,univariate_asian_vs_white,-0.18633206075650477,-0.24619116549022965,-1.4664216219583768,0.5719885415546574
had_any_nm,binary,Asian,univariate_asian_vs_white,-1.2502589483807125,-1.399945794054051,-3.6074337026801273,-0.2165511673798931
n_fnas_total,continuous,Asian,univariate_asian_vs_white,0.0007633366653044507,0.0012667482714628306,-0.004106882965605918,0.008619028322620481
days_us_to_surg_approx,continuous,Asian,univariate_asian_vs_white,-0.005955132555331308,-0.006080789180006963,-0.025713610224292423,0.012615702027665028
has_mng,binary,Asian,univariate_asian_vs_white,0.1868951801890345,0.19228589367389784,-0.013441151120477971,0.4122170381976306
has_clt,binary,Asian,univariate_asian_vs_white,-0.008586127262125869,-0.011359726927373227,-0.07781137232618117,0.051218898831842156
has_graves,binary,Asian,univariate_asian_vs_white,0.7062216650034498,1.1062790017079056,-0.6400517772120728,5.975941993313983
