diagnosis_primary,variant,era_5yr,n,n_total_thyr,n_hemi,n_completion
DHGTC,(null),1995-1999,1,0,1,1
DHGTC,(null),2020-2025,10,1,0,0
FTC,(null),1995-1999,4,3,1,0
FTC,(null),2000-2004,17,7,7,3
FTC,(null),2005-2009,19,7,10,5
FTC,(null),2010-2014,16,7,9,5
FTC,(null),2015-2019,8,4,4,2
FTC,(null),2020-2025,42,4,8,5
FTC,minimally_invasive,1990-1994,1,0,1,0
FTC,minimally_invasive,1995-1999,2,2,0,0
FTC,minimally_invasive,2000-2004,5,0,5,0
FTC,minimally_invasive,2005-2009,10,3,7,4
FTC,minimally_invasive,2010-2014,3,2,1,1
FTC,minimally_invasive,2015-2019,18,8,9,5
FTC,minimally_invasive,2020-2025,130,11,31,9
FTC,oncocytic_warthin,1995-1999,1,1,0,0
FTC,oncocytic_warthin,2000-2004,12,6,6,5
FTC,oncocytic_warthin,2005-2009,25,5,17,8
FTC,oncocytic_warthin,2010-2014,20,8,12,8
FTC,oncocytic_warthin,2015-2019,51,25,25,15
FTC,oncocytic_warthin,2020-2025,100,16,27,15
FTC,widely_invasive,2010-2014,5,3,2,1
FTC,widely_invasive,2015-2019,1,1,0,0
FTC,widely_invasive,2020-2025,6,3,0,0
FTUMP,(null),2005-2009,3,1,2,0
FTUMP,(null),2010-2014,1,1,0,0
FTUMP,(null),2015-2019,1,0,1,1
FTUMP,(null),2020-2025,29,0,2,1
HCC,(null),2005-2009,2,0,0,0
NIFTP,(null),1990-1994,1,1,0,0
NIFTP,(null),1995-1999,1,0,1,0
NIFTP,(null),2000-2004,1,0,1,0
NIFTP,(null),2015-2019,50,19,30,1
NIFTP,(null),2020-2025,63,9,18,0
PDTC,(null),2015-2019,1,1,0,0
atypical_follicular_adenoma,(null),2005-2009,1,1,0,0
atypical_follicular_adenoma,(null),2015-2019,2,1,1,0
atypical_follicular_adenoma,(null),2020-2025,30,2,11,0
follicular_adenoma,(null),1990-1994,1,0,1,0
follicular_adenoma,(null),1995-1999,12,2,10,0
follicular_adenoma,(null),2000-2004,82,8,74,1
follicular_adenoma,(null),2005-2009,123,17,106,0
follicular_adenoma,(null),2010-2014,141,44,93,0
follicular_adenoma,(null),2015-2019,139,18,117,0
follicular_adenoma,(null),2020-2025,209,21,63,1
hurthle_cell_adenoma,(null),1995-1999,2,0,2,0
hurthle_cell_adenoma,(null),2000-2004,14,2,12,0
hurthle_cell_adenoma,(null),2005-2009,17,2,13,0
hurthle_cell_adenoma,(null),2010-2014,33,6,25,0
hurthle_cell_adenoma,(null),2015-2019,35,8,27,0
hurthle_cell_adenoma,(null),2020-2025,42,5,12,0
hyalinizing_trabecular_tumor,(null),2000-2004,1,0,1,0
hyalinizing_trabecular_tumor,(null),2010-2014,1,1,0,0
hyalinizing_trabecular_tumor,(null),2015-2019,1,1,0,0
hyalinizing_trabecular_tumor,(null),2020-2025,1,0,0,0
