historical_group,n_total,n_total_thyr,n_hemi,n_completion,pct_total,pct_hemi,pct_completion
DHGTC,11,1,1,1,9.1,9.1,9.1
FTC_NOS,106,32,39,20,30.2,36.8,18.9
FTC_minimally_invasive,169,26,54,19,15.4,32.0,11.2
FTC_oncocytic_warthin,209,61,87,51,29.2,41.6,24.4
FTC_widely_invasive,12,7,2,1,58.3,16.7,8.3
FTUMP,34,2,5,2,5.9,14.7,5.9
HCC,2,0,0,0,0.0,0.0,0.0
NIFTP,116,29,50,1,25.0,43.1,0.9
PDTC,1,1,0,0,100.0,0.0,0.0
atypical_follicular_adenoma,33,4,12,0,12.1,36.4,0.0
follicular_adenoma,707,110,464,2,15.6,65.6,0.3
hurthle_cell_adenoma,143,23,91,0,16.1,63.6,0.0
hyalinizing_trabecular_tumor,4,2,1,0,50.0,25.0,0.0
