item,value
Total cohort,292
Histology classification — Malignant,176 (60.3%)
Histology classification — Borderline (NIFTP/FTUMP),22 (7.5%)
Histology classification — Benign,94 (32.2%)
Histology classification — Unclassified,0 (0.0%)
RAS gene — NRAS positive (hybrid),232 (79.5%)
RAS gene — HRAS positive (hybrid),109 (37.3%)
RAS gene — KRAS positive (hybrid),55 (18.8%)
RAS gene — Multi-gene RAS+,85 (29.1%)
  Single-gene-only — NRAS,147 (50.3%)
  Single-gene-only — HRAS,46 (15.8%)
  Single-gene-only — KRAS,14 (4.8%)
  Single-gene-only — MULTI,85 (29.1%)
Co-mutation group — Isolated,273 (93.5%)
Co-mutation group — RAS+BRAF,4 (1.4%)
Co-mutation group — RAS+TERT,14 (4.8%)
Co-mutation group — RAS+TERT+BRAF,1 (0.3%)
Molecular platform — ThyroSeq only,167 (57.2%)
Molecular platform — Afirma only,2 (0.7%)
Molecular platform — ThyroSeq + Afirma (both),34 (11.6%)
Molecular platform — Unknown,89 (30.5%)
