item,value
Bethesda — AUS/FLUS,102 (34.9%)
Bethesda — Follicular Neoplasm,62 (21.2%)
Bethesda — Missing,59 (20.2%)
Bethesda — Malignant,42 (14.4%)
Bethesda — Benign,17 (5.8%)
Bethesda — Suspicious for Malignancy,8 (2.7%)
Bethesda — Nondiagnostic,2 (0.7%)
TIRADS — Missing,103 (35.3%)
TIRADS — TR5,91 (31.2%)
TIRADS — TR3,42 (14.4%)
TIRADS — TR4,37 (12.7%)
TIRADS — TR1,12 (4.1%)
TIRADS — TR2,7 (2.4%)
Time from molecular test to surgery — median (IQR) days,-76.0 (-116.5--48.0)
Molecular test performed preoperatively,84 (28.8%)
Molecular test performed postoperatively,3 (1.0%)
