source,target,value
Benign,hemithyroidectomy,3
Benign,total_thyroidectomy,2
Bethesda_3,Benign,1
Bethesda_3,Inconclusive,209
Bethesda_3,Suspicious,15
Bethesda_4,Benign,4
Bethesda_4,Inconclusive,198
Bethesda_4,Suspicious,20
Bethesda_5,Inconclusive,188
Bethesda_5,Suspicious,6
Inconclusive,hemithyroidectomy,272
Inconclusive,other,7
Inconclusive,total_thyroidectomy,316
Suspicious,hemithyroidectomy,17
Suspicious,total_thyroidectomy,24
hemithyroidectomy,no_completion,292
other,no_completion,7
total_thyroidectomy,no_completion,342
