file_path	coupling_pattern	function_or_area	disposition	publication_anchor_overlap	mentions_any_pub_dataset_table	ddl_or_bq_load_heuristic	port_backlog_tier	bq_tables_substring_mentions
M025_FINAL_PACKAGE/build_m025_final_xlsx.py	duckdb.connect	other	DEAD	no	no	no	-	
M025_FINAL_PACKAGE/m025_sensitivity_mig_307d.py	duckdb.connect	other	DEAD	yes	yes	no	-	signoff_migration
M025_submission_package_v1_0/08_analysis_code/build_m025_tables.py	duckdb.connect	other	DEAD	yes	yes	no	-	canonical_patient_master
M025_submission_package_v2_0/08_analysis_code/build_m025_tables.py	duckdb.connect	other	DEAD	yes	yes	no	-	canonical_patient_master
M032_submission_package_v1_0/08_analysis_code/build_m032_figures.py	duckdb.connect	other	DEAD	no	no	no	-	
M032_submission_package_v1_0/08_analysis_code/build_m032_manuscript_md.py	duckdb.connect	other	DEAD	no	no	no	-	
M032_submission_package_v1_0/08_analysis_code/build_m032_tables.py	duckdb.connect	other	DEAD	no	no	no	-	
M037_submission_package_v1_0/08_analysis_code/build_m037_tables.py	duckdb.connect	other	DEAD	yes	yes	no	-	canonical_patient_master
M038_submission_package_v1_0/data_extraction_v2_20260504/01_pull_parquet.py	duckdb.connect	other	DEAD	no	yes	no	-	cohort_m038_massive_goiter_v1
M044_submission_package_v1_0/08_analysis_code/build_m044_master_excel.py	duckdb.connect	other	DEAD	yes	yes	no	-	canonical_patient_master;path_synoptics;vw_recurrence_safe_VIEW_v1
M044_submission_package_v1_0/08_analysis_code/m044_ete_fit_models.py	connect_locked	other	DEAD	yes	yes	no	-	canonical_patient_master;vw_recurrence_safe_VIEW_v1
artifacts/ete_verification/check_ln_coverage.py	duckdb.connect	other	ACTIVE	no	yes	no	P4	tumor_pathology
dashboard.py	MotherDuckClient	other	ACTIVE	yes	yes	no	P4	ct_imaging;extracted_rln_injury_refined_v2;fna_cytology;imaging_fna_linkage_v3;manuscript_cohort_v1;mri_imaging;note_entities_complications;nuclear_med;path_synoptics;thyroid_weights;tumor_episode_master_v2;tumor_pathology;ultrasound_reports
hpc/02_ingest_to_motherduck.py	duckdb.connect	other	ACTIVE	yes	yes	yes	P3	canonical_patient_master;note_entities_llm_dynamic_risk_response;note_entities_llm_presenting_symptoms;note_entities_llm_synoptic_pathology_enrichment;note_entities_llm_tg_kinetics;note_entities_llm_us_nodule_dynamics
lakehouse/motherduck_optimize.py	MotherDuckClient	other	ACTIVE	yes	yes	yes	P3	complication_patient_summary_v1;complication_phenotype_v1;imaging_patient_summary_v1;longitudinal_lab_canonical_v1;manuscript_cohort_v1;note_entities_llm_airway_invasion;note_entities_llm_cervical_ln_detail;note_entities_llm_dynamic_risk_response;note_entities_llm_frozen_section_detail;note_entities_llm_functional_outcomes;note_entities_llm_imaging;note_entities_llm_labs;note_entities_llm_parathyroid_detail;note_entities_llm_past_medical_hx;note_entities_llm_past_surgical_hx;note_entities_llm_pathology;note_entities_llm_patient_decision_adherence;note_entities_llm_physical_exam;note_entities_llm_presenting_symptoms;note_entities_llm_rad_treatment;note_entities_llm_rai_detailed;note_entities_llm_recurrence;note_entities_llm_survival_followup;note_entities_llm_synoptic_pathology_enrichment;note_entities_llm_tg_kinetics;note_entities_llm_tirads_granular;note_entities_llm_us_nodule_dynamics;note_entities_llm_vascular_invasion;recurrence_event_clean_v1;survival_cohort_enriched;thyroid_scoring_py_v1
llm_extraction/complications_refined_pipeline.py	duckdb.connect	other	ACTIVE	no	yes	yes	P3	clinical_notes_long;extracted_complications_refined_v5;extracted_rln_injury_refined_v2;note_entities_complications
llm_extraction/extraction_audit_engine.py	duckdb.connect	other	ACTIVE	yes	yes	no	P4	clinical_notes_long;note_entities_complications;path_synoptics
llm_extraction/extraction_audit_engine_v2.py	duckdb.connect	other	ACTIVE	yes	yes	yes	P3	clinical_notes_long;note_entities_genetics;note_entities_problem_list;note_entities_procedures;note_entities_staging;operative_episode_detail_v2;path_synoptics
llm_extraction/extraction_audit_engine_v3.py	duckdb.connect	other	ACTIVE	yes	yes	yes	P3	clinical_notes_long;extracted_ete_subgraded_v1;molecular_test_episode_v2;path_synoptics;rai_treatment_episode_v2
llm_extraction/phase7_h1h2_sensitivity.py	duckdb.connect	other	ACTIVE	yes	yes	no	P4	path_synoptics
llm_extraction/rln_refined_pipeline.py	duckdb.connect	other	ACTIVE	yes	yes	yes	P3	clinical_notes_long;extracted_rln_injury_refined_v2;note_entities_complications;path_synoptics
llm_extraction/run_full_audit_and_refine.py	duckdb.connect	other	ACTIVE	no	yes	no	P4	extracted_complications_refined_v5;note_entities_complications
