surgery_year,surgery_extent_bucket,histology_bucket,central_lnd_yes_no,n_specimens,n_examined_ok,n_positive_ok,n_both_ok,n_both_unresolved,pct_examined,pct_positive,pct_both
1994,lobectomy_hemi,unknown_histology,0,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1996,lobectomy_hemi,unknown_histology,0,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1997,lobectomy_hemi,PTC_family,0,2,2.0,2.0,2.0,0.0,100.0,100.0,100.0
1999,lobectomy_hemi,FTC_family,1,2,2.0,2.0,2.0,0.0,100.0,100.0,100.0
1999,lobectomy_hemi,PTC_family,0,7,7.0,0.0,0.0,0.0,100.0,0.0,0.0
1999,lobectomy_hemi,PTC_family,1,4,4.0,4.0,4.0,0.0,100.0,100.0,100.0
1999,lobectomy_hemi,other_histology,0,1,1.0,0.0,0.0,0.0,100.0,0.0,0.0
1999,lobectomy_hemi,other_histology,1,2,2.0,2.0,2.0,0.0,100.0,100.0,100.0
1999,lobectomy_hemi,unknown_histology,0,32,31.0,3.0,3.0,1.0,96.88,9.38,9.38
1999,lobectomy_hemi,unknown_histology,1,9,9.0,9.0,9.0,0.0,100.0,100.0,100.0
1999,other_or_mixed,other_histology,0,5,5.0,4.0,4.0,0.0,100.0,80.0,80.0
1999,other_or_mixed,unknown_histology,0,3,2.0,1.0,1.0,1.0,66.67,33.33,33.33
1999,total_or_near_total,FTC_family,0,3,3.0,0.0,0.0,0.0,100.0,0.0,0.0
1999,total_or_near_total,FTC_family,1,1,1.0,1.0,1.0,0.0,100.0,100.0,100.0
1999,total_or_near_total,PTC_family,0,16,16.0,9.0,9.0,0.0,100.0,56.25,56.25
1999,total_or_near_total,PTC_family,1,7,7.0,7.0,7.0,0.0,100.0,100.0,100.0
1999,total_or_near_total,unknown_histology,0,25,25.0,1.0,1.0,0.0,100.0,4.0,4.0
1999,total_or_near_total,unknown_histology,1,4,4.0,4.0,4.0,0.0,100.0,100.0,100.0
2000,lobectomy_hemi,FTC_family,0,3,3.0,0.0,0.0,0.0,100.0,0.0,0.0
2000,lobectomy_hemi,FTC_family,1,1,1.0,1.0,1.0,0.0,100.0,100.0,100.0
2000,lobectomy_hemi,PTC_family,0,5,5.0,0.0,0.0,0.0,100.0,0.0,0.0
2000,lobectomy_hemi,other_histology,1,2,2.0,2.0,2.0,0.0,100.0,100.0,100.0
2000,lobectomy_hemi,unknown_histology,0,46,46.0,6.0,6.0,0.0,100.0,13.04,13.04
2000,lobectomy_hemi,unknown_histology,1,19,19.0,19.0,19.0,0.0,100.0,100.0,100.0
2000,other_or_mixed,other_histology,0,8,8.0,6.0,6.0,0.0,100.0,75.0,75.0
2000,other_or_mixed,other_histology,1,1,1.0,1.0,1.0,0.0,100.0,100.0,100.0
2000,other_or_mixed,unknown_histology,0,4,4.0,0.0,0.0,0.0,100.0,0.0,0.0
2000,other_or_mixed,unknown_histology,1,1,1.0,1.0,1.0,0.0,100.0,100.0,100.0
2000,total_or_near_total,FTC_family,0,2,2.0,0.0,0.0,0.0,100.0,0.0,0.0
2000,total_or_near_total,PTC_family,0,11,11.0,1.0,1.0,0.0,100.0,9.09,9.09
2000,total_or_near_total,PTC_family,1,13,13.0,13.0,13.0,0.0,100.0,100.0,100.0
2000,total_or_near_total,other_histology,0,1,1.0,1.0,1.0,0.0,100.0,100.0,100.0
2000,total_or_near_total,other_histology,1,1,1.0,1.0,1.0,0.0,100.0,100.0,100.0
2000,total_or_near_total,unknown_histology,0,42,42.0,3.0,3.0,0.0,100.0,7.14,7.14
2000,total_or_near_total,unknown_histology,1,9,9.0,9.0,9.0,0.0,100.0,100.0,100.0
2001,lobectomy_hemi,FTC_family,0,4,4.0,0.0,0.0,0.0,100.0,0.0,0.0
2001,lobectomy_hemi,FTC_family,1,1,1.0,1.0,1.0,0.0,100.0,100.0,100.0
2001,lobectomy_hemi,PTC_family,0,5,3.0,1.0,1.0,2.0,60.0,20.0,20.0
2001,lobectomy_hemi,PTC_family,1,2,2.0,2.0,2.0,0.0,100.0,100.0,100.0
2001,lobectomy_hemi,other_histology,1,1,1.0,1.0,1.0,0.0,100.0,100.0,100.0
2001,lobectomy_hemi,unknown_histology,0,52,52.0,4.0,4.0,0.0,100.0,7.69,7.69
2001,lobectomy_hemi,unknown_histology,1,16,16.0,16.0,16.0,0.0,100.0,100.0,100.0
2001,other_or_mixed,other_histology,0,4,4.0,4.0,4.0,0.0,100.0,100.0,100.0
2001,other_or_mixed,other_histology,1,5,5.0,5.0,5.0,0.0,100.0,100.0,100.0
2001,other_or_mixed,unknown_histology,0,5,3.0,1.0,1.0,2.0,60.0,20.0,20.0
2001,other_or_mixed,unknown_histology,1,1,1.0,1.0,1.0,0.0,100.0,100.0,100.0
2001,total_or_near_total,FTC_family,0,1,1.0,0.0,0.0,0.0,100.0,0.0,0.0
2001,total_or_near_total,FTC_family,1,2,2.0,2.0,2.0,0.0,100.0,100.0,100.0
2001,total_or_near_total,PTC_family,0,9,9.0,3.0,3.0,0.0,100.0,33.33,33.33
2001,total_or_near_total,PTC_family,1,14,14.0,14.0,14.0,0.0,100.0,100.0,100.0
2001,total_or_near_total,unknown_histology,0,37,35.0,4.0,3.0,1.0,94.59,10.81,8.11
2001,total_or_near_total,unknown_histology,1,7,7.0,7.0,7.0,0.0,100.0,100.0,100.0
2002,lobectomy_hemi,FTC_family,0,3,3.0,0.0,0.0,0.0,100.0,0.0,0.0
2002,lobectomy_hemi,FTC_family,1,5,5.0,5.0,5.0,0.0,100.0,100.0,100.0
2002,lobectomy_hemi,PTC_family,0,13,13.0,2.0,2.0,0.0,100.0,15.38,15.38
2002,lobectomy_hemi,PTC_family,1,4,4.0,4.0,4.0,0.0,100.0,100.0,100.0
2002,lobectomy_hemi,unknown_histology,0,61,60.0,2.0,2.0,1.0,98.36,3.28,3.28
2002,lobectomy_hemi,unknown_histology,1,15,15.0,15.0,15.0,0.0,100.0,100.0,100.0
2002,other_or_mixed,other_histology,0,8,8.0,4.0,4.0,0.0,100.0,50.0,50.0
2002,other_or_mixed,other_histology,1,5,5.0,5.0,5.0,0.0,100.0,100.0,100.0
2002,other_or_mixed,unknown_histology,0,10,4.0,0.0,0.0,6.0,40.0,0.0,0.0
