Variable,No ETE,Microscopic ETE,Gross ETE,p-value
N (%),724 (22.1%),1736 (53.0%),818 (25.0%),
"Age, mean +/- SD",48.0 +/- 15.3,50.1 +/- 15.1,50.8 +/- 16.0,<0.001
"Age >= 55, n (%)",249 (34.4%),693 (39.9%),352 (43.0%),0.002
"Female sex, n (%)",540 (74.6%),1331 (76.7%),587 (71.8%),0.027
"Tumor size (cm), median [IQR]",2.0 [1.0-4.1],2.0 [1.0-4.4],2.0 [1.0-4.0],0.077
"  <=1 cm, n (%)",185 (25.6%),456 (26.3%),230 (28.1%),<0.001
"  1.1-2 cm, n (%)",178 (24.6%),450 (25.9%),224 (27.4%),
"  2.1-4 cm, n (%)",167 (23.1%),334 (19.2%),197 (24.1%),
"  >4 cm, n (%)",185 (25.6%),496 (28.6%),167 (20.4%),
"  T1a, n (%)",186 (25.7%),455 (26.2%),96 (11.7%),<0.001
"  T1b, n (%)",179 (24.7%),450 (25.9%),65 (7.9%),
"  T2, n (%)",165 (22.8%),336 (19.4%),47 (5.7%),
"  T3a, n (%)",185 (25.6%),495 (28.5%),14 (1.7%),
"  T3b, n (%)",0 (0.0%),0 (0.0%),346 (42.3%),
"  T4a, n (%)",0 (0.0%),0 (0.0%),250 (30.6%),
"  Stage I, n (%)",545 (75.3%),1198 (69.0%),464 (56.7%),<0.001
"  Stage II, n (%)",170 (23.5%),535 (30.8%),241 (29.5%),
"  Stage III, n (%)",0 (0.0%),0 (0.0%),107 (13.1%),
"  Stage IVB, n (%)",0 (0.0%),3 (0.2%),6 (0.7%),
"N1 (any), n (%)",412 (56.9%),1166 (67.2%),611 (74.7%),<0.001
"  Risk: low, n (%)",368 (50.8%),992 (57.1%),0 (0.0%),<0.001
"  Risk: intermediate, n (%)",210 (29.0%),547 (31.5%),0 (0.0%),
"  Risk: high, n (%)",146 (20.2%),197 (11.3%),818 (100.0%),
