variable,lobectomy,total_thyroidectomy
N,260,375
"Age, mean (SD)",56.6 (15.0),52.5 (14.8)
"Age, median [IQR]",57.0 [45.8–68.0],54.0 [42.0–64.0]
"Female, n (%)",204 (78.5%),291 (77.6%)
"Nodule size (cm), mean (SD)",2.46 (0.36),2.45 (0.39)
"Nodule size (cm), median [IQR]",2.39 [2.18–2.65],2.36 [2.16–2.66]
"Bethesda 1, n (%)",20 (7.7%),5 (1.3%)
"Bethesda 2, n (%)",71 (27.3%),76 (20.3%)
"Bethesda 3, n (%)",64 (24.6%),36 (9.6%)
"Bethesda 4, n (%)",27 (10.4%),18 (4.8%)
"Bethesda 5, n (%)",10 (3.8%),23 (6.1%)
"Bethesda 6, n (%)",9 (3.5%),102 (27.2%)
"Bethesda missing, n (%)",59 (22.7%),115 (30.7%)
"Bilateral nodules, n (%)",199 (76.5%),304 (81.1%)
"Molecular tested, n (%)",10 (3.8%),11 (2.9%)
"TI-RADS score, mean (SD)",4.2 (0.8),4.2 (0.9)
"TI-RADS missing, n (%)",0 (0.0%),0 (0.0%)
"Final malignant, n (%)",260 (100.0%),375 (100.0%)
"Aggressive pathology, n (%)",260 (100.0%),375 (100.0%)
