Histology rule,Platform,Bethesda,Size band,TP (test-pos AND malignant),FP (test-pos AND benign),FN (test-neg AND malignant),TN (test-neg AND benign),n_2x2,Intermediate-call n (% malig),Not-classifiable-call n (% malig),Sensitivity (95% CI),Specificity (95% CI),PPV (95% CI),NPV (95% CI)
Strict (NIFTP=benign),Afirma,B3,2to4cm,1,0,1,0,2,0,0,50.0% [9.5–90.5],—,100.0% [20.7–100.0],0.0% [0.0–79.3]
Strict (NIFTP=benign),Afirma,B3,all_sizes,17,11,2,4,34,0,2 (50.0% malig),89.5% [68.6–97.1],26.7% [10.9–52.0],60.7% [42.4–76.4],66.7% [30.0–90.3]
Strict (NIFTP=benign),Afirma,B3,lt2cm,7,4,0,1,12,0,1 (100.0% malig),100.0% [64.6–100.0],20.0% [3.6–62.4],63.6% [35.4–84.8],100.0% [20.7–100.0]
Strict (NIFTP=benign),Afirma,B3,unknown_size,9,7,1,3,20,0,1 (0.0% malig),90.0% [59.6–98.2],30.0% [10.8–60.3],56.2% [33.2–76.9],75.0% [30.1–95.4]
Strict (NIFTP=benign),Afirma,B3+B4,2to4cm,3,0,1,0,4,0,0,75.0% [30.1–95.4],—,100.0% [43.8–100.0],0.0% [0.0–79.3]
Strict (NIFTP=benign),Afirma,B3+B4,all_sizes,42,24,5,5,76,0,6 (33.3% malig),89.4% [77.4–95.4],17.2% [7.6–34.5],63.6% [51.6–74.2],50.0% [23.7–76.3]
Strict (NIFTP=benign),Afirma,B3+B4,lt2cm,17,7,1,1,26,0,2 (50.0% malig),94.4% [74.2–99.0],12.5% [2.2–47.1],70.8% [50.8–85.1],50.0% [9.5–90.5]
Strict (NIFTP=benign),Afirma,B3+B4,unknown_size,22,17,3,4,46,0,4 (25.0% malig),88.0% [70.0–95.8],19.0% [7.7–40.0],56.4% [41.0–70.7],57.1% [25.0–84.2]
Strict (NIFTP=benign),Afirma,B4,2to4cm,2,0,0,0,2,0,0,100.0% [34.2–100.0],—,100.0% [34.2–100.0],—
Strict (NIFTP=benign),Afirma,B4,all_sizes,25,13,3,1,42,0,4 (25.0% malig),89.3% [72.8–96.3],7.1% [1.3–31.5],65.8% [49.9–78.8],25.0% [4.6–69.9]
Strict (NIFTP=benign),Afirma,B4,lt2cm,10,3,1,0,14,0,1 (0.0% malig),90.9% [62.3–98.4],0.0% [0.0–56.2],76.9% [49.7–91.8],0.0% [0.0–79.3]
Strict (NIFTP=benign),Afirma,B4,unknown_size,13,10,2,1,26,0,3 (33.3% malig),86.7% [62.1–96.3],9.1% [1.6–37.7],56.5% [36.8–74.4],33.3% [6.1–79.2]
Strict (NIFTP=benign),ThyroSeq,B3,2to4cm,11,1,1,7,20,7 (57.1% malig),1 (100.0% malig),91.7% [64.6–98.5],87.5% [52.9–97.8],91.7% [64.6–98.5],87.5% [52.9–97.8]
Strict (NIFTP=benign),ThyroSeq,B3,all_sizes,47,26,26,47,146,27 (40.7% malig),11 (54.5% malig),64.4% [52.9–74.4],64.4% [52.9–74.4],64.4% [52.9–74.4],64.4% [52.9–74.4]
Strict (NIFTP=benign),ThyroSeq,B3,lt2cm,25,16,19,28,88,13 (30.8% malig),8 (50.0% malig),56.8% [42.2–70.3],63.6% [48.9–76.2],61.0% [45.7–74.3],59.6% [45.3–72.4]
Strict (NIFTP=benign),ThyroSeq,B3,unknown_size,11,9,6,12,38,7 (42.9% malig),2 (50.0% malig),64.7% [41.3–82.7],57.1% [36.5–75.5],55.0% [34.2–74.2],66.7% [43.7–83.7]
Strict (NIFTP=benign),ThyroSeq,B3+B4,2to4cm,13,4,2,12,31,7 (57.1% malig),1 (100.0% malig),86.7% [62.1–96.3],75.0% [50.5–89.8],76.5% [52.7–90.4],85.7% [60.1–96.0]
Strict (NIFTP=benign),ThyroSeq,B3+B4,all_sizes,76,44,33,77,230,37 (48.6% malig),17 (58.8% malig),69.7% [60.5–77.6],63.6% [54.8–71.7],63.3% [54.4–71.4],70.0% [60.9–77.8]
Strict (NIFTP=benign),ThyroSeq,B3+B4,lt2cm,42,26,23,49,140,19 (47.4% malig),11 (54.5% malig),64.6% [52.5–75.1],65.3% [54.1–75.1],61.8% [49.9–72.4],68.1% [56.6–77.7]
Strict (NIFTP=benign),ThyroSeq,B3+B4,unknown_size,21,14,8,16,59,11 (45.5% malig),5 (60.0% malig),72.4% [54.3–85.3],53.3% [36.1–69.8],60.0% [43.6–74.4],66.7% [46.7–82.0]
Strict (NIFTP=benign),ThyroSeq,B4,2to4cm,2,3,1,5,11,0,0,66.7% [20.8–93.9],62.5% [30.6–86.3],40.0% [11.8–76.9],83.3% [43.6–97.0]
Strict (NIFTP=benign),ThyroSeq,B4,all_sizes,29,18,7,30,84,10 (70.0% malig),6 (66.7% malig),80.6% [65.0–90.2],62.5% [48.4–74.8],61.7% [47.4–74.2],81.1% [65.8–90.5]
Strict (NIFTP=benign),ThyroSeq,B4,lt2cm,17,10,4,21,52,6 (83.3% malig),3 (66.7% malig),81.0% [60.0–92.3],67.7% [50.1–81.4],63.0% [44.2–78.5],84.0% [65.3–93.6]
Strict (NIFTP=benign),ThyroSeq,B4,unknown_size,10,5,2,4,21,4 (50.0% malig),3 (66.7% malig),83.3% [55.2–95.3],44.4% [18.9–73.3],66.7% [41.7–84.8],66.7% [30.0–90.3]
Inclusive (NIFTP=malignant),Afirma,B3,2to4cm,1,0,1,0,2,0,0,50.0% [9.5–90.5],—,100.0% [20.7–100.0],0.0% [0.0–79.3]
Inclusive (NIFTP=malignant),Afirma,B3,all_sizes,17,11,2,4,34,0,2 (50.0% malig),89.5% [68.6–97.1],26.7% [10.9–52.0],60.7% [42.4–76.4],66.7% [30.0–90.3]
Inclusive (NIFTP=malignant),Afirma,B3,lt2cm,7,4,0,1,12,0,1 (100.0% malig),100.0% [64.6–100.0],20.0% [3.6–62.4],63.6% [35.4–84.8],100.0% [20.7–100.0]
Inclusive (NIFTP=malignant),Afirma,B3,unknown_size,9,7,1,3,20,0,1 (0.0% malig),90.0% [59.6–98.2],30.0% [10.8–60.3],56.2% [33.2–76.9],75.0% [30.1–95.4]
Inclusive (NIFTP=malignant),Afirma,B3+B4,2to4cm,3,0,1,0,4,0,0,75.0% [30.1–95.4],—,100.0% [43.8–100.0],0.0% [0.0–79.3]
Inclusive (NIFTP=malignant),Afirma,B3+B4,all_sizes,42,24,5,5,76,0,6 (33.3% malig),89.4% [77.4–95.4],17.2% [7.6–34.5],63.6% [51.6–74.2],50.0% [23.7–76.3]
Inclusive (NIFTP=malignant),Afirma,B3+B4,lt2cm,17,7,1,1,26,0,2 (50.0% malig),94.4% [74.2–99.0],12.5% [2.2–47.1],70.8% [50.8–85.1],50.0% [9.5–90.5]
Inclusive (NIFTP=malignant),Afirma,B3+B4,unknown_size,22,17,3,4,46,0,4 (25.0% malig),88.0% [70.0–95.8],19.0% [7.7–40.0],56.4% [41.0–70.7],57.1% [25.0–84.2]
Inclusive (NIFTP=malignant),Afirma,B4,2to4cm,2,0,0,0,2,0,0,100.0% [34.2–100.0],—,100.0% [34.2–100.0],—
Inclusive (NIFTP=malignant),Afirma,B4,all_sizes,25,13,3,1,42,0,4 (25.0% malig),89.3% [72.8–96.3],7.1% [1.3–31.5],65.8% [49.9–78.8],25.0% [4.6–69.9]
Inclusive (NIFTP=malignant),Afirma,B4,lt2cm,10,3,1,0,14,0,1 (0.0% malig),90.9% [62.3–98.4],0.0% [0.0–56.2],76.9% [49.7–91.8],0.0% [0.0–79.3]
Inclusive (NIFTP=malignant),Afirma,B4,unknown_size,13,10,2,1,26,0,3 (33.3% malig),86.7% [62.1–96.3],9.1% [1.6–37.7],56.5% [36.8–74.4],33.3% [6.1–79.2]
Inclusive (NIFTP=malignant),ThyroSeq,B3,2to4cm,11,1,1,7,20,7 (57.1% malig),1 (100.0% malig),91.7% [64.6–98.5],87.5% [52.9–97.8],91.7% [64.6–98.5],87.5% [52.9–97.8]
Inclusive (NIFTP=malignant),ThyroSeq,B3,all_sizes,53,20,28,45,146,27 (44.4% malig),11 (54.5% malig),65.4% [54.6–74.9],69.2% [57.2–79.1],72.6% [61.4–81.5],61.6% [50.2–71.9]
Inclusive (NIFTP=malignant),ThyroSeq,B3,lt2cm,29,12,21,26,88,13 (38.5% malig),8 (50.0% malig),58.0% [44.2–70.6],68.4% [52.5–80.9],70.7% [55.5–82.4],55.3% [41.2–68.6]
Inclusive (NIFTP=malignant),ThyroSeq,B3,unknown_size,13,7,6,12,38,7 (42.9% malig),2 (50.0% malig),68.4% [46.0–84.6],63.2% [41.0–80.9],65.0% [43.3–81.9],66.7% [43.7–83.7]
Inclusive (NIFTP=malignant),ThyroSeq,B3+B4,2to4cm,13,4,2,12,31,7 (57.1% malig),1 (100.0% malig),86.7% [62.1–96.3],75.0% [50.5–89.8],76.5% [52.7–90.4],85.7% [60.1–96.0]
Inclusive (NIFTP=malignant),ThyroSeq,B3+B4,all_sizes,85,35,36,74,230,37 (54.1% malig),17 (58.8% malig),70.2% [61.6–77.7],67.9% [58.6–75.9],70.8% [62.2–78.2],67.3% [58.1–75.3]
Inclusive (NIFTP=malignant),ThyroSeq,B3+B4,lt2cm,48,20,26,46,140,19 (57.9% malig),11 (54.5% malig),64.9% [53.5–74.8],69.7% [57.8–79.4],70.6% [58.9–80.1],63.9% [52.4–74.0]
Inclusive (NIFTP=malignant),ThyroSeq,B3+B4,unknown_size,24,11,8,16,59,11 (45.5% malig),5 (60.0% malig),75.0% [57.9–86.7],59.3% [40.7–75.5],68.6% [52.0–81.4],66.7% [46.7–82.0]
Inclusive (NIFTP=malignant),ThyroSeq,B4,2to4cm,2,3,1,5,11,0,0,66.7% [20.8–93.9],62.5% [30.6–86.3],40.0% [11.8–76.9],83.3% [43.6–97.0]
Inclusive (NIFTP=malignant),ThyroSeq,B4,all_sizes,32,15,8,29,84,10 (80.0% malig),6 (66.7% malig),80.0% [65.2–89.5],65.9% [51.1–78.1],68.1% [53.8–79.6],78.4% [62.8–88.6]
Inclusive (NIFTP=malignant),ThyroSeq,B4,lt2cm,19,8,5,20,52,6 (100.0% malig),3 (66.7% malig),79.2% [59.5–90.8],71.4% [52.9–84.7],70.4% [51.5–84.1],80.0% [60.9–91.1]
