Bethesda,Size band,Era,n_total,n_with_resolved_histology,"Malignant (strict, NIFTP excluded) n (%) [Wilson 95% CI]","Malignant (inclusive, NIFTP-as-malignant) n (%) [Wilson 95% CI]",NIFTP n,Borderline (FTUMP/HTT) n
Bethesda 1,lt2cm,pre_2015,1,0,0/0 (—),0/0 (—),0,0
Bethesda 1,lt2cm,2015_plus,31,7,7/7 (100.0% [64.6–100.0]),7/7 (100.0% [64.6–100.0]),0,0
Bethesda 1,2to4cm,2015_plus,15,2,2/2 (100.0% [34.2–100.0]),2/2 (100.0% [34.2–100.0]),0,0
Bethesda 1,unknown,pre_2015,77,31,31/31 (100.0% [89.0–100.0]),31/31 (100.0% [89.0–100.0]),0,0
Bethesda 1,unknown,2015_plus,40,8,7/8 (87.5% [52.9–97.8]),8/8 (100.0% [67.6–100.0]),1,0
Bethesda 2,lt2cm,pre_2015,36,7,7/7 (100.0% [64.6–100.0]),7/7 (100.0% [64.6–100.0]),0,0
Bethesda 2,lt2cm,2015_plus,428,76,69/76 (90.8% [82.2–95.5]),75/76 (98.7% [92.9–99.8]),6,0
Bethesda 2,2to4cm,pre_2015,5,1,1/1 (100.0% [20.7–100.0]),1/1 (100.0% [20.7–100.0]),0,0
Bethesda 2,2to4cm,2015_plus,82,13,11/13 (84.6% [57.8–95.7]),13/13 (100.0% [77.2–100.0]),2,0
Bethesda 2,gt4cm,2015_plus,1,0,0/0 (—),0/0 (—),0,0
Bethesda 2,unknown,pre_2015,749,125,124/125 (99.2% [95.6–99.9]),125/125 (100.0% [97.0–100.0]),0,1
Bethesda 2,unknown,2015_plus,343,67,60/67 (89.6% [80.0–94.8]),66/67 (98.5% [92.0–99.7]),6,0
Bethesda 3,lt2cm,pre_2015,1,0,0/0 (—),0/0 (—),0,0
Bethesda 3,lt2cm,2015_plus,181,94,83/94 (88.3% [80.2–93.3]),94/94 (100.0% [96.1–100.0]),10,1
Bethesda 3,2to4cm,2015_plus,43,26,25/26 (96.2% [81.1–99.3]),26/26 (100.0% [87.1–100.0]),1,0
Bethesda 3,unknown,pre_2015,89,42,42/42 (100.0% [91.6–100.0]),42/42 (100.0% [91.6–100.0]),0,0
Bethesda 3,unknown,2015_plus,130,61,57/61 (93.4% [84.3–97.4]),61/61 (100.0% [94.1–100.0]),4,0
Bethesda 4,lt2cm,pre_2015,3,0,0/0 (—),0/0 (—),0,0
Bethesda 4,lt2cm,2015_plus,141,73,66/73 (90.4% [81.5–95.3]),73/73 (100.0% [95.0–100.0]),7,0
Bethesda 4,2to4cm,2015_plus,27,10,10/10 (100.0% [72.2–100.0]),10/10 (100.0% [72.2–100.0]),0,0
Bethesda 4,unknown,pre_2015,211,77,76/77 (98.7% [93.0–99.8]),77/77 (100.0% [95.2–100.0]),1,0
Bethesda 4,unknown,2015_plus,107,59,57/59 (96.6% [88.5–99.1]),59/59 (100.0% [93.9–100.0]),2,0
Bethesda 5,lt2cm,pre_2015,2,2,2/2 (100.0% [34.2–100.0]),2/2 (100.0% [34.2–100.0]),0,0
Bethesda 5,lt2cm,2015_plus,60,56,56/56 (100.0% [93.6–100.0]),56/56 (100.0% [93.6–100.0]),0,0
Bethesda 5,2to4cm,2015_plus,25,23,21/23 (91.3% [73.2–97.6]),23/23 (100.0% [85.7–100.0]),2,0
Bethesda 5,unknown,pre_2015,63,52,51/52 (98.1% [89.9–99.7]),52/52 (100.0% [93.1–100.0]),0,1
Bethesda 5,unknown,2015_plus,66,59,58/59 (98.3% [91.0–99.7]),59/59 (100.0% [93.9–100.0]),1,0
Bethesda 6,lt2cm,pre_2015,1,0,0/0 (—),0/0 (—),0,0
Bethesda 6,lt2cm,2015_plus,248,204,202/204 (99.0% [96.5–99.7]),204/204 (100.0% [98.2–100.0]),2,0
Bethesda 6,2to4cm,pre_2015,2,2,2/2 (100.0% [34.2–100.0]),2/2 (100.0% [34.2–100.0]),0,0
Bethesda 6,2to4cm,2015_plus,107,100,99/100 (99.0% [94.6–99.8]),100/100 (100.0% [96.3–100.0]),1,0
Bethesda 6,gt4cm,2015_plus,1,1,1/1 (100.0% [20.7–100.0]),1/1 (100.0% [20.7–100.0]),0,0
Bethesda 6,unknown,pre_2015,360,331,331/331 (100.0% [98.9–100.0]),331/331 (100.0% [98.9–100.0]),0,0
Bethesda 6,unknown,2015_plus,245,213,211/213 (99.1% [96.6–99.7]),213/213 (100.0% [98.2–100.0]),2,0
