Histology rule,Platform,Bethesda,Size band,TP (test-pos AND malignant),FP (test-pos AND benign),FN (test-neg AND malignant),TN (test-neg AND benign),n_2x2,Intermediate-call n (% malig),Not-classifiable-call n (% malig),Sensitivity (95% CI),Specificity (95% CI),PPV (95% CI),NPV (95% CI)
Strict (NIFTP=benign),Afirma,B3,2to4cm,1,0,1,0,2,0,0,50.0% [9.5–90.5],—,100.0% [20.7–100.0],0.0% [0.0–79.3]
Strict (NIFTP=benign),Afirma,B3,all_sizes,17,11,2,4,34,0,2 (50.0% malig),89.5% [68.6–97.1],26.7% [10.9–52.0],60.7% [42.4–76.4],66.7% [30.0–90.3]
Strict (NIFTP=benign),Afirma,B3,lt2cm,7,4,0,1,12,0,1 (100.0% malig),100.0% [64.6–100.0],20.0% [3.6–62.4],63.6% [35.4–84.8],100.0% [20.7–100.0]
Strict (NIFTP=benign),Afirma,B3,unknown_size,9,7,1,3,20,0,1 (0.0% malig),90.0% [59.6–98.2],30.0% [10.8–60.3],56.2% [33.2–76.9],75.0% [30.1–95.4]
Strict (NIFTP=benign),Afirma,B3+B4,2to4cm,3,0,1,0,4,0,0,75.0% [30.1–95.4],—,100.0% [43.8–100.0],0.0% [0.0–79.3]
Strict (NIFTP=benign),Afirma,B3+B4,all_sizes,42,24,5,5,76,0,6 (33.3% malig),89.4% [77.4–95.4],17.2% [7.6–34.5],63.6% [51.6–74.2],50.0% [23.7–76.3]
Strict (NIFTP=benign),Afirma,B3+B4,lt2cm,17,7,1,1,26,0,2 (50.0% malig),94.4% [74.2–99.0],12.5% [2.2–47.1],70.8% [50.8–85.1],50.0% [9.5–90.5]
Strict (NIFTP=benign),Afirma,B3+B4,unknown_size,22,17,3,4,46,0,4 (25.0% malig),88.0% [70.0–95.8],19.0% [7.7–40.0],56.4% [41.0–70.7],57.1% [25.0–84.2]
Strict (NIFTP=benign),Afirma,B4,2to4cm,2,0,0,0,2,0,0,100.0% [34.2–100.0],—,100.0% [34.2–100.0],—
Strict (NIFTP=benign),Afirma,B4,all_sizes,25,13,3,1,42,0,4 (25.0% malig),89.3% [72.8–96.3],7.1% [1.3–31.5],65.8% [49.9–78.8],25.0% [4.6–69.9]
Strict (NIFTP=benign),Afirma,B4,lt2cm,10,3,1,0,14,0,1 (0.0% malig),90.9% [62.3–98.4],0.0% [0.0–56.2],76.9% [49.7–91.8],0.0% [0.0–79.3]
Strict (NIFTP=benign),Afirma,B4,unknown_size,13,10,2,1,26,0,3 (33.3% malig),86.7% [62.1–96.3],9.1% [1.6–37.7],56.5% [36.8–74.4],33.3% [6.1–79.2]
Strict (NIFTP=benign),ThyroSeq,B3,2to4cm,7,1,1,5,14,4 (50.0% malig),10 (70.0% malig),87.5% [52.9–97.8],83.3% [43.6–97.0],87.5% [52.9–97.8],83.3% [43.6–97.0]
Strict (NIFTP=benign),ThyroSeq,B3,all_sizes,23,16,13,20,72,12 (41.7% malig),100 (49.0% malig),63.9% [47.6–77.5],55.6% [39.6–70.5],59.0% [43.4–72.9],60.6% [43.7–75.3]
Strict (NIFTP=benign),ThyroSeq,B3,lt2cm,11,12,11,13,47,5 (20.0% malig),57 (50.9% malig),50.0% [30.7–69.3],52.0% [33.5–70.0],47.8% [29.2–67.0],54.2% [35.1–72.1]
Strict (NIFTP=benign),ThyroSeq,B3,unknown_size,5,3,1,2,11,3 (66.7% malig),33 (39.4% malig),83.3% [43.6–97.0],40.0% [11.8–76.9],62.5% [30.6–86.3],66.7% [20.8–93.9]
Strict (NIFTP=benign),ThyroSeq,B3+B4,2to4cm,8,1,1,9,19,4 (50.0% malig),16 (56.2% malig),88.9% [56.5–98.0],90.0% [59.6–98.2],88.9% [56.5–98.0],90.0% [59.6–98.2]
Strict (NIFTP=benign),ThyroSeq,B3+B4,all_sizes,33,21,16,34,104,15 (46.7% malig),165 (49.1% malig),67.3% [53.4–78.8],61.8% [48.6–73.5],61.1% [47.8–73.0],68.0% [54.2–79.2]
Strict (NIFTP=benign),ThyroSeq,B3+B4,lt2cm,18,16,14,21,69,7 (42.9% malig),94 (47.9% malig),56.2% [39.3–71.8],56.8% [40.9–71.3],52.9% [36.7–68.5],60.0% [43.6–74.4]
Strict (NIFTP=benign),ThyroSeq,B3+B4,unknown_size,7,4,1,4,16,4 (50.0% malig),55 (49.1% malig),87.5% [52.9–97.8],50.0% [21.5–78.5],63.6% [35.4–84.8],80.0% [37.6–96.4]
Strict (NIFTP=benign),ThyroSeq,B4,2to4cm,1,0,0,4,5,0,6 (33.3% malig),100.0% [20.7–100.0],100.0% [51.0–100.0],100.0% [20.7–100.0],100.0% [51.0–100.0]
Strict (NIFTP=benign),ThyroSeq,B4,all_sizes,10,5,3,14,32,3 (66.7% malig),65 (49.2% malig),76.9% [49.7–91.8],73.7% [51.2–88.2],66.7% [41.7–84.8],82.4% [59.0–93.8]
Strict (NIFTP=benign),ThyroSeq,B4,lt2cm,7,4,3,8,22,2 (100.0% malig),37 (43.2% malig),70.0% [39.7–89.2],66.7% [39.1–86.2],63.6% [35.4–84.8],72.7% [43.4–90.3]
Strict (NIFTP=benign),ThyroSeq,B4,unknown_size,2,1,0,2,5,1 (0.0% malig),22 (63.6% malig),100.0% [34.2–100.0],66.7% [20.8–93.9],66.7% [20.8–93.9],100.0% [34.2–100.0]
Inclusive (NIFTP=malignant),Afirma,B3,2to4cm,1,0,1,0,2,0,0,50.0% [9.5–90.5],—,100.0% [20.7–100.0],0.0% [0.0–79.3]
Inclusive (NIFTP=malignant),Afirma,B3,all_sizes,17,11,2,4,34,0,2 (50.0% malig),89.5% [68.6–97.1],26.7% [10.9–52.0],60.7% [42.4–76.4],66.7% [30.0–90.3]
Inclusive (NIFTP=malignant),Afirma,B3,lt2cm,7,4,0,1,12,0,1 (100.0% malig),100.0% [64.6–100.0],20.0% [3.6–62.4],63.6% [35.4–84.8],100.0% [20.7–100.0]
Inclusive (NIFTP=malignant),Afirma,B3,unknown_size,9,7,1,3,20,0,1 (0.0% malig),90.0% [59.6–98.2],30.0% [10.8–60.3],56.2% [33.2–76.9],75.0% [30.1–95.4]
Inclusive (NIFTP=malignant),Afirma,B3+B4,2to4cm,3,0,1,0,4,0,0,75.0% [30.1–95.4],—,100.0% [43.8–100.0],0.0% [0.0–79.3]
Inclusive (NIFTP=malignant),Afirma,B3+B4,all_sizes,42,24,5,5,76,0,6 (33.3% malig),89.4% [77.4–95.4],17.2% [7.6–34.5],63.6% [51.6–74.2],50.0% [23.7–76.3]
Inclusive (NIFTP=malignant),Afirma,B3+B4,lt2cm,17,7,1,1,26,0,2 (50.0% malig),94.4% [74.2–99.0],12.5% [2.2–47.1],70.8% [50.8–85.1],50.0% [9.5–90.5]
Inclusive (NIFTP=malignant),Afirma,B3+B4,unknown_size,22,17,3,4,46,0,4 (25.0% malig),88.0% [70.0–95.8],19.0% [7.7–40.0],56.4% [41.0–70.7],57.1% [25.0–84.2]
Inclusive (NIFTP=malignant),Afirma,B4,2to4cm,2,0,0,0,2,0,0,100.0% [34.2–100.0],—,100.0% [34.2–100.0],—
Inclusive (NIFTP=malignant),Afirma,B4,all_sizes,25,13,3,1,42,0,4 (25.0% malig),89.3% [72.8–96.3],7.1% [1.3–31.5],65.8% [49.9–78.8],25.0% [4.6–69.9]
Inclusive (NIFTP=malignant),Afirma,B4,lt2cm,10,3,1,0,14,0,1 (0.0% malig),90.9% [62.3–98.4],0.0% [0.0–56.2],76.9% [49.7–91.8],0.0% [0.0–79.3]
Inclusive (NIFTP=malignant),Afirma,B4,unknown_size,13,10,2,1,26,0,3 (33.3% malig),86.7% [62.1–96.3],9.1% [1.6–37.7],56.5% [36.8–74.4],33.3% [6.1–79.2]
Inclusive (NIFTP=malignant),ThyroSeq,B3,2to4cm,7,1,1,5,14,4 (50.0% malig),10 (70.0% malig),87.5% [52.9–97.8],83.3% [43.6–97.0],87.5% [52.9–97.8],83.3% [43.6–97.0]
Inclusive (NIFTP=malignant),ThyroSeq,B3,all_sizes,27,12,13,20,72,12 (41.7% malig),100 (54.0% malig),67.5% [52.0–79.9],62.5% [45.3–77.1],69.2% [53.6–81.4],60.6% [43.7–75.3]
Inclusive (NIFTP=malignant),ThyroSeq,B3,lt2cm,14,9,11,13,47,5 (20.0% malig),57 (57.9% malig),56.0% [37.1–73.3],59.1% [38.7–76.7],60.9% [40.8–77.8],54.2% [35.1–72.1]
Inclusive (NIFTP=malignant),ThyroSeq,B3,unknown_size,6,2,1,2,11,3 (66.7% malig),33 (42.4% malig),85.7% [48.7–97.4],50.0% [15.0–85.0],75.0% [40.9–92.9],66.7% [20.8–93.9]
Inclusive (NIFTP=malignant),ThyroSeq,B3+B4,2to4cm,8,1,1,9,19,4 (50.0% malig),16 (56.2% malig),88.9% [56.5–98.0],90.0% [59.6–98.2],88.9% [56.5–98.0],90.0% [59.6–98.2]
Inclusive (NIFTP=malignant),ThyroSeq,B3+B4,all_sizes,37,17,16,34,104,15 (46.7% malig),165 (55.2% malig),69.8% [56.5–80.5],66.7% [53.0–78.0],68.5% [55.3–79.3],68.0% [54.2–79.2]
Inclusive (NIFTP=malignant),ThyroSeq,B3+B4,lt2cm,21,13,14,21,69,7 (42.9% malig),94 (56.4% malig),60.0% [43.6–74.4],61.8% [45.0–76.1],61.8% [45.0–76.1],60.0% [43.6–74.4]
Inclusive (NIFTP=malignant),ThyroSeq,B3+B4,unknown_size,8,3,1,4,16,4 (50.0% malig),55 (52.7% malig),88.9% [56.5–98.0],57.1% [25.0–84.2],72.7% [43.4–90.3],80.0% [37.6–96.4]
Inclusive (NIFTP=malignant),ThyroSeq,B4,2to4cm,1,0,0,4,5,0,6 (33.3% malig),100.0% [20.7–100.0],100.0% [51.0–100.0],100.0% [20.7–100.0],100.0% [51.0–100.0]
Inclusive (NIFTP=malignant),ThyroSeq,B4,all_sizes,10,5,3,14,32,3 (66.7% malig),65 (56.9% malig),76.9% [49.7–91.8],73.7% [51.2–88.2],66.7% [41.7–84.8],82.4% [59.0–93.8]
Inclusive (NIFTP=malignant),ThyroSeq,B4,lt2cm,7,4,3,8,22,2 (100.0% malig),37 (54.1% malig),70.0% [39.7–89.2],66.7% [39.1–86.2],63.6% [35.4–84.8],72.7% [43.4–90.3]
