Bethesda,Size band,Era,n_total,Total thyroidectomy n (%) [Wilson 95% CI],Lobectomy n (%)
Bethesda 1,lt2cm,pre_2015,1,0/1 (0.0% [0.0–79.3]),1/1 (100.0%)
Bethesda 1,lt2cm,2015_plus,31,10/31 (32.3% [18.6–49.9]),21/31 (67.7%)
Bethesda 1,2to4cm,2015_plus,15,2/15 (13.3% [3.7–37.9]),13/15 (86.7%)
Bethesda 1,unknown,pre_2015,77,28/77 (36.4% [26.5–47.5]),49/77 (63.6%)
Bethesda 1,unknown,2015_plus,40,10/40 (25.0% [14.2–40.2]),30/40 (75.0%)
Bethesda 2,lt2cm,pre_2015,36,7/36 (19.4% [9.8–35.0]),29/36 (80.6%)
Bethesda 2,lt2cm,2015_plus,428,165/428 (38.6% [34.1–43.2]),263/428 (61.4%)
Bethesda 2,2to4cm,pre_2015,5,1/5 (20.0% [3.6–62.4]),4/5 (80.0%)
Bethesda 2,2to4cm,2015_plus,82,38/82 (46.3% [36.0–57.1]),44/82 (53.7%)
Bethesda 2,gt4cm,2015_plus,1,0/1 (0.0% [0.0–79.3]),1/1 (100.0%)
Bethesda 2,unknown,pre_2015,749,276/749 (36.8% [33.5–40.4]),473/749 (63.2%)
Bethesda 2,unknown,2015_plus,343,158/343 (46.1% [40.9–51.4]),185/343 (53.9%)
Bethesda 3,lt2cm,pre_2015,1,0/1 (0.0% [0.0–79.3]),1/1 (100.0%)
Bethesda 3,lt2cm,2015_plus,181,61/181 (33.7% [27.2–40.9]),120/181 (66.3%)
Bethesda 3,2to4cm,2015_plus,43,13/43 (30.2% [18.6–45.1]),30/43 (69.8%)
Bethesda 3,unknown,pre_2015,89,38/89 (42.7% [32.9–53.1]),51/89 (57.3%)
Bethesda 3,unknown,2015_plus,130,52/130 (40.0% [32.0–48.6]),78/130 (60.0%)
Bethesda 4,lt2cm,pre_2015,3,0/3 (0.0% [0.0–56.2]),3/3 (100.0%)
Bethesda 4,lt2cm,2015_plus,141,47/141 (33.3% [26.1–41.5]),94/141 (66.7%)
Bethesda 4,2to4cm,2015_plus,27,4/27 (14.8% [5.9–32.5]),23/27 (85.2%)
Bethesda 4,unknown,pre_2015,211,64/211 (30.3% [24.5–36.8]),147/211 (69.7%)
Bethesda 4,unknown,2015_plus,107,44/107 (41.1% [32.3–50.6]),63/107 (58.9%)
Bethesda 5,lt2cm,pre_2015,2,0/2 (0.0% [0.0–65.8]),2/2 (100.0%)
Bethesda 5,lt2cm,2015_plus,60,44/60 (73.3% [61.0–82.9]),16/60 (26.7%)
Bethesda 5,2to4cm,2015_plus,25,17/25 (68.0% [48.4–82.8]),8/25 (32.0%)
Bethesda 5,unknown,pre_2015,63,44/63 (69.8% [57.6–79.8]),19/63 (30.2%)
Bethesda 5,unknown,2015_plus,66,54/66 (81.8% [70.9–89.3]),12/66 (18.2%)
Bethesda 6,lt2cm,pre_2015,1,0/1 (0.0% [0.0–79.3]),1/1 (100.0%)
Bethesda 6,lt2cm,2015_plus,248,192/248 (77.4% [71.8–82.2]),56/248 (22.6%)
Bethesda 6,2to4cm,pre_2015,2,0/2 (0.0% [0.0–65.8]),2/2 (100.0%)
Bethesda 6,2to4cm,2015_plus,107,89/107 (83.2% [75.0–89.1]),18/107 (16.8%)
Bethesda 6,gt4cm,2015_plus,1,1/1 (100.0% [20.7–100.0]),0/1 (0.0%)
Bethesda 6,unknown,pre_2015,360,309/360 (85.8% [81.9–89.1]),51/360 (14.2%)
Bethesda 6,unknown,2015_plus,245,200/245 (81.6% [76.3–86.0]),45/245 (18.4%)
