cohort,column,n_missing,n_total,missing_prop
broad_nodal_N635,linked_fna_episode_id,635,635,1.0
broad_nodal_N635,completion_days,635,635,1.0
broad_nodal_N635,multifocality_flag,635,635,1.0
broad_nodal_N635,preop_molecular_episode_id,614,635,0.9669291338582677
broad_nodal_N635,preop_mol_platform,614,635,0.9669291338582677
broad_nodal_N635,preop_mol_result_class,614,635,0.9669291338582677
broad_nodal_N635,high_risk_marker_flag,614,635,0.9669291338582677
broad_nodal_N635,braf_flag,614,635,0.9669291338582677
broad_nodal_N635,ras_flag,614,635,0.9669291338582677
broad_nodal_N635,ret_fusion_flag,614,635,0.9669291338582677
broad_nodal_N635,tert_flag,614,635,0.9669291338582677
broad_nodal_N635,ntrk_flag,614,635,0.9669291338582677
broad_nodal_N635,linkage_score,451,635,0.710236220472441
broad_nodal_N635,fna_episode_id,451,635,0.710236220472441
broad_nodal_N635,completion_total_flag,375,635,0.5905511811023622
broad_nodal_N635,completion_within_30,375,635,0.5905511811023622
broad_nodal_N635,completion_within_90,375,635,0.5905511811023622
broad_nodal_N635,completion_within_365,375,635,0.5905511811023622
broad_nodal_N635,bethesda_category,174,635,0.2740157480314961
broad_nodal_N635,preop_fna_episode_id,162,635,0.2551181102362205
broad_nodal_N635,broad_exam_suspicious_node,6,635,0.009448818897637795
broad_nodal_N635,broad_nodule_suspicious_node,6,635,0.009448818897637795
broad_nodal_N635,research_id,0,635,0.0
broad_nodal_N635,nodule_id,0,635,0.0
broad_nodal_N635,exam_date,0,635,0.0
broad_nodal_N635,max_dimension_cm,0,635,0.0
broad_nodal_N635,laterality,0,635,0.0
broad_nodal_N635,tirads_category,0,635,0.0
broad_nodal_N635,suspicious_flag,0,635,0.0
broad_nodal_N635,tirads_acr_recalculated,0,635,0.0
broad_nodal_N635,resolved_exam_date,0,635,0.0
broad_nodal_N635,size_cm_max,0,635,0.0
broad_nodal_N635,surgery_episode_id,0,635,0.0
broad_nodal_N635,index_surgery_date,0,635,0.0
broad_nodal_N635,procedure_normalized,0,635,0.0
broad_nodal_N635,has_fna_link,0,635,0.0
broad_nodal_N635,sort_dom,0,635,0.0
broad_nodal_N635,preop_ambiguous_lesion,0,635,0.0
broad_nodal_N635,strict_ct_pathologic_ln,0,635,0.0
broad_nodal_N635,strict_mri_pathologic_ln,0,635,0.0
broad_nodal_N635,strict_malignant_node_fna,0,635,0.0
broad_nodal_N635,strict_ln_positive_any,0,635,0.0
broad_nodal_N635,broad_suspicious_any,0,635,0.0
broad_nodal_N635,age_at_surgery,0,635,0.0
broad_nodal_N635,sex,0,635,0.0
broad_nodal_N635,surgery_date,0,635,0.0
broad_nodal_N635,initial_total,0,635,0.0
broad_nodal_N635,initial_lobectomy,0,635,0.0
broad_nodal_N635,surgery_year,0,635,0.0
broad_nodal_N635,ultimate_total,0,635,0.0
broad_nodal_N635,preop_molecular_tested,0,635,0.0
broad_nodal_N635,preop_mol_positive,0,635,0.0
broad_nodal_N635,final_primary_histology,0,635,0.0
broad_nodal_N635,gross_ete,0,635,0.0
broad_nodal_N635,nodal_disease_positive_count,0,635,0.0
broad_nodal_N635,extranodal_extension,0,635,0.0
broad_nodal_N635,margin_status,0,635,0.0
broad_nodal_N635,histology_variant,0,635,0.0
broad_nodal_N635,final_malignant,0,635,0.0
broad_nodal_N635,aggressive_pathology,0,635,0.0
broad_nodal_N635,tirads_score,0,635,0.0
broad_nodal_N635,preop_distinct_lateralities,0,635,0.0
broad_nodal_N635,bilateral_nodule_indicator,0,635,0.0
primary_N558,linked_fna_episode_id,558,558,1.0
primary_N558,completion_days,558,558,1.0
primary_N558,multifocality_flag,558,558,1.0
primary_N558,preop_molecular_episode_id,538,558,0.96415770609319
primary_N558,preop_mol_platform,538,558,0.96415770609319
primary_N558,preop_mol_result_class,538,558,0.96415770609319
primary_N558,high_risk_marker_flag,538,558,0.96415770609319
primary_N558,braf_flag,538,558,0.96415770609319
primary_N558,ras_flag,538,558,0.96415770609319
primary_N558,ret_fusion_flag,538,558,0.96415770609319
primary_N558,tert_flag,538,558,0.96415770609319
primary_N558,ntrk_flag,538,558,0.96415770609319
primary_N558,linkage_score,403,558,0.7222222222222222
primary_N558,fna_episode_id,403,558,0.7222222222222222
primary_N558,completion_total_flag,320,558,0.5734767025089605
primary_N558,completion_within_30,320,558,0.5734767025089605
primary_N558,completion_within_90,320,558,0.5734767025089605
primary_N558,completion_within_365,320,558,0.5734767025089605
primary_N558,bethesda_category,149,558,0.2670250896057348
primary_N558,preop_fna_episode_id,140,558,0.25089605734767023
primary_N558,broad_exam_suspicious_node,5,558,0.008960573476702509
primary_N558,broad_nodule_suspicious_node,5,558,0.008960573476702509
primary_N558,research_id,0,558,0.0
primary_N558,nodule_id,0,558,0.0
primary_N558,exam_date,0,558,0.0
primary_N558,max_dimension_cm,0,558,0.0
primary_N558,laterality,0,558,0.0
primary_N558,tirads_category,0,558,0.0
primary_N558,suspicious_flag,0,558,0.0
primary_N558,tirads_acr_recalculated,0,558,0.0
primary_N558,resolved_exam_date,0,558,0.0
primary_N558,size_cm_max,0,558,0.0
primary_N558,surgery_episode_id,0,558,0.0
primary_N558,index_surgery_date,0,558,0.0
primary_N558,procedure_normalized,0,558,0.0
primary_N558,has_fna_link,0,558,0.0
primary_N558,sort_dom,0,558,0.0
primary_N558,preop_ambiguous_lesion,0,558,0.0
primary_N558,strict_ct_pathologic_ln,0,558,0.0
primary_N558,strict_mri_pathologic_ln,0,558,0.0
primary_N558,strict_malignant_node_fna,0,558,0.0
primary_N558,strict_ln_positive_any,0,558,0.0
primary_N558,broad_suspicious_any,0,558,0.0
primary_N558,age_at_surgery,0,558,0.0
primary_N558,sex,0,558,0.0
primary_N558,surgery_date,0,558,0.0
primary_N558,initial_total,0,558,0.0
primary_N558,initial_lobectomy,0,558,0.0
primary_N558,surgery_year,0,558,0.0
primary_N558,ultimate_total,0,558,0.0
primary_N558,preop_molecular_tested,0,558,0.0
primary_N558,preop_mol_positive,0,558,0.0
primary_N558,final_primary_histology,0,558,0.0
primary_N558,gross_ete,0,558,0.0
primary_N558,nodal_disease_positive_count,0,558,0.0
