manuscript,stratum,block,variable,detail,value,extra
M025,Overall,Header,N,,3375,
M025,Overall,Continuous,Age at surgery (y),Mean ± SD,53.6 ± 14.9,
M025,Overall,Continuous,Age at surgery (y),Median (IQR),54.0 (43.0–65.0),
M025,Overall,Continuous,Age at surgery (y),Non-missing / missing,n=3375; missing 0 (0.0%),
M025,Overall,Continuous,BMI,Mean ± SD,31.5 ± 7.8,
M025,Overall,Continuous,BMI,Median (IQR),30.1 (25.5–35.9),
M025,Overall,Continuous,BMI,Non-missing / missing,n=701; missing 2674 (79.2%),
M025,Overall,Categorical,Sex,,,
M025,Overall,Categorical,Sex,female,2691 (79.7%),
M025,Overall,Categorical,Sex,male,684 (20.3%),
M025,Overall,Categorical,Sex,Missing,0 (0.0%),
M025,Overall,Categorical,Race/ethnicity (as coded),,,
M025,Overall,Categorical,Race/ethnicity (as coded),Black or African American,1535 (45.5%),
M025,Overall,Categorical,Race/ethnicity (as coded),White,1382 (40.9%),
M025,Overall,Categorical,Race/ethnicity (as coded),Asian,204 (6.0%),
M025,Overall,Categorical,Race/ethnicity (as coded),Unknown or Not Reported,165 (4.9%),
M025,Overall,Categorical,Race/ethnicity (as coded),Other,66 (2.0%),
M025,Overall,Categorical,Race/ethnicity (as coded),Native Hawaiian or Other Pacific Islander,11 (0.3%),
M025,Overall,Categorical,Race/ethnicity (as coded),American Indian or Alaska Native,10 (0.3%),
M025,Overall,Categorical,Race/ethnicity (as coded),Missing,2 (0.1%),
M025,Overall,Categorical,Surgery procedure type,,,
M025,Overall,Categorical,Surgery procedure type,total_thyroidectomy,1937 (57.4%),
M025,Overall,Categorical,Surgery procedure type,hemithyroidectomy,1407 (41.7%),
M025,Overall,Categorical,Surgery procedure type,other,24 (0.7%),
M025,Overall,Categorical,Surgery procedure type,isthmusectomy,5 (0.1%),
M025,Overall,Categorical,Surgery procedure type,unknown,1 (0.0%),
M025,Overall,Categorical,Surgery procedure type,Missing,1 (0.0%),
M025,Overall,Binary,Malignant,,1479 (43.8%),
M025,Overall,Categorical,Histology (malignant only),,N_malignant=1479,
M025,Overall,Categorical,Histology (malignant only),PTC,1145 (77.4%),
M025,Overall,Categorical,Histology (malignant only),follicular carcinoma,214 (14.5%),
M025,Overall,Categorical,Histology (malignant only),MTC,44 (3.0%),
M025,Overall,Categorical,Histology (malignant only),metastatic PTC,23 (1.6%),
M025,Overall,Categorical,Histology (malignant only),FTUMP,22 (1.5%),
M025,Overall,Categorical,Histology (malignant only),poorly differentiated thyroid carcinoma,14 (0.9%),
M025,Overall,Categorical,Histology (malignant only),differentiated high grade thyroid carcinoma,6 (0.4%),
M025,Overall,Categorical,Histology (malignant only),anaplastic carcinoma,5 (0.3%),
M025,Overall,Categorical,Histology (malignant only),metastatic PTC classical,1 (0.1%),
M025,Overall,Categorical,Histology (malignant only),follicular adenoma,1 (0.1%),
M025,Overall,Categorical,Histology (malignant only),metastatic follicular carcinoma,1 (0.1%),
M025,Overall,Categorical,Histology (malignant only),metastatic MTC,1 (0.1%),
M025,Overall,Categorical,Histology (malignant only),metastatic thyroid carcinoma,1 (0.1%),
M025,Overall,Categorical,Histology (malignant only),poorly differentiated carcinoma with neuroendocrine differntiation,1 (0.1%),
M025,Overall,Categorical,Histology (malignant only),Missing,0 (0.0%),
M025,Overall,Categorical,AJCC8 stage group (malignant only),,N_malignant=1479,
M025,Overall,Categorical,AJCC8 stage group (malignant only),II,747 (50.5%),
M025,Overall,Categorical,AJCC8 stage group (malignant only),IVB,495 (33.5%),
M025,Overall,Categorical,AJCC8 stage group (malignant only),I,235 (15.9%),
M025,Overall,Categorical,AJCC8 stage group (malignant only),III,1 (0.1%),
M025,Overall,Categorical,AJCC8 stage group (malignant only),None,1 (0.1%),
M025,Overall,Categorical,AJCC8 stage group (malignant only),Missing,0 (0.0%),
M025,Overall,Continuous,"Tumor size, dominant (cm)",Mean ± SD,2.2 ± 1.9,
M025,Overall,Continuous,"Tumor size, dominant (cm)",Median (IQR),1.7 (0.9–3.2),
M025,Overall,Continuous,"Tumor size, dominant (cm)",Non-missing / missing,n=1538; missing 1837 (54.4%),
M025,Overall,Continuous,LN positive count (final),Mean ± SD,1.7 ± 4.2,
M025,Overall,Continuous,LN positive count (final),Median (IQR),0.0 (0.0–1.0),
M025,Overall,Continuous,LN rollup total examined,Mean ± SD,7.2 ± 13.7,
M025,Overall,Continuous,LN rollup total examined,Median (IQR),1.0 (1.0–6.0),
M025,Overall,Continuous,LN rollup total positive,Mean ± SD,2.1 ± 4.0,
M025,Overall,Continuous,LN rollup total positive,Median (IQR),1.0 (0.0–1.0),
M025,Overall,Categorical,ETE grade (final),,,
M025,Overall,Categorical,ETE grade (final),None,1849 (54.8%),
M025,Overall,Categorical,ETE grade (final),microscopic,906 (26.8%),
M025,Overall,Categorical,ETE grade (final),gross,588 (17.4%),
M025,Overall,Categorical,ETE grade (final),false,17 (0.5%),
M025,Overall,Categorical,ETE grade (final),present_ungraded,11 (0.3%),
M025,Overall,Categorical,ETE grade (final),absent,4 (0.1%),
M025,Overall,Categorical,ETE grade (final),Missing,0 (0.0%),
