comparison_domain,algorithm_comparison_status,llm_rows,unique_patients,structured_matches,baseline_matches,fill_candidates,review_conflicts
complications,concordant_existing_extraction_only,183,162,0,183,0,0
complications,discordant_existing,2,2,0,2,0,2
complications,existing_missing_fill_candidate,275,251,0,0,275,0
genetics,concordant_existing,206,146,206,199,0,0
genetics,concordant_existing_extraction_only,299,219,0,299,0,0
genetics,discordant_existing,46,40,0,15,0,46
genetics,existing_missing_fill_candidate,473,420,0,0,473,0
medications,concordant_existing,59,28,59,59,0,0
medications,concordant_existing_extraction_only,791,347,0,791,0,0
medications,discordant_existing,3,2,0,2,0,3
medications,existing_missing_fill_candidate,368,328,0,0,368,0
medications,source_limited,1,1,0,0,0,0
operative_detail,concordant_existing,29,15,29,0,0,0
operative_detail,concordant_existing_extraction_only,1,1,0,1,0,0
operative_detail,discordant_existing,746,397,0,3,0,746
operative_detail,existing_missing_fill_candidate,1264,784,0,0,1264,0
problem_list,concordant_existing_extraction_only,251,165,0,251,0,0
problem_list,source_limited,108,91,0,0,0,0
procedures,concordant_existing,1217,932,1217,1038,0,0
procedures,concordant_existing_extraction_only,17,10,0,17,0,0
procedures,discordant_existing,1059,801,0,258,0,1059
procedures,existing_missing_fill_candidate,43,41,0,0,43,0
staging,concordant_existing,903,754,903,0,0,0
staging,discordant_existing,1013,654,0,417,0,1013
unmapped,source_limited,45590,5029,0,0,0,0
