domain_name,total_rows,unique_patients,unique_note_rows,top_entity_types
imaging,11037,5641,11037,
tirads_granular,11037,5641,11037,
labs,11037,5641,11037,
tg_kinetics,11037,5641,11037,
pathology,11037,5641,11037,
synoptic_pathology_enrichment,11037,5641,11037,
rai_detailed,11037,5641,11037,
rad_treatment,11037,5641,11037,
parathyroid_detail,11037,5641,11037,
recurrence,11037,5641,11037,
survival_followup,11037,5641,11037,
functional_outcomes,11037,5641,11037,
past_medical_hx,11037,5641,11037,
past_surgical_hx,11037,5641,11037,
physical_exam,11037,5641,11037,
vascular_invasion,11037,5641,11037,
airway_invasion,11037,5641,11037,
dynamic_risk_response,11037,5641,11037,
patient_decision_adherence,11037,5641,11037,
UNCLAIMED,11037,5641,11037,
UNCLAIMED,11037,5641,11037,
UNCLAIMED,11037,5641,11037,
UNCLAIMED,11037,5641,11037,
UNCLAIMED,11037,5641,11037,
UNCLAIMED,11037,5641,11037,
UNCLAIMED,11037,5641,11037,
