domain_name,total_rows,unique_patients,unique_note_rows,top_entity_types
imaging,8428,1759,1879,ultrasound_thyroid=3266; nodule_size=2087; nodule_location=986; ct_neck=589; ultrasound_lymph_node=574
tirads_granular,179,44,44,tirads_category=33; tirads_composition=25; nodule_dimensions=22; tirads_echogenicity=15; nodule_identifier=14
labs,2460,841,847,tsh=698; thyroglobulin=256; free_t4=212; calcium=178; thyroglobulin_stimulated=158
tg_kinetics,173,61,61,tg_value=131; anti_tg_value=25; paired_tsh=9; tg_context=4; tg_assay_method=2
pathology,10894,2220,2582,fna_cytology=2473; surgical_pathology=2044; bethesda_class=1200; tumor_size=1055; molecular_testing=926
synoptic_pathology_enrichment,38,8,8,tumor_variant=7; pT_stage=5; tumor_multifocality=5; pN_stage=4; specimen_type=3
rai_detailed,3747,650,686,treatment_episode_number=701; rai_dose_mci=634; post_treatment_wbs_findings=559; preparation_method=434; pre_rai_tsh=338
rad_treatment,580,213,215,rai_ablation=212; post_treatment_scan=106; thyroid_hormone_suppression=98; thyrogen_stimulation=58; rai_preparation=36
parathyroid_detail,255,118,119,gland_location=140; removal_intent=22; gland_count_total=22; gland_cellularity=19; gland_count_preserved=13
recurrence,303,143,145,structural_recurrence=156; disease_free=59; biochemical_persistence=25; distant_recurrence=23; biochemical_recurrence=23
survival_followup,9809,2982,3317,vital_status=2532; last_followup_date=2421; voice_quality=1923; swallowing_function=1378; calcium_quality_of_life=534
cervical_ln_detail,104,48,48,ln_level=99; ln_number_per_level=2; fna_of_ln=1; ln_laterality=1; ln_morphology=1
functional_outcomes,3322,1842,2130,vocal_cord_mobility=1396; swallowing_function_detail=693; voice_recovery=591; laryngoscopy_findings=163; laryngoscopy_date=151
past_medical_hx,865,295,298,prior_cancer=243; autoimmune_thyroid=97; hypertension=79; obesity=62; diabetes=62
past_surgical_hx,3919,1878,1912,other_surgery=1168; prior_thyroidectomy=1022; prior_fna=938; prior_rai=310; prior_neck_surgery=199
presenting_symptoms,280,120,120,neck_mass=97; incidental_finding=55; dysphagia=25; hoarseness=23; weight_change=20
physical_exam,1924,662,702,neck_exam=453; thyroid_palpation=347; lymph_node_palpation=241; airway_exam=172; wound_exam=101
vascular_invasion,4241,998,1049,soft_tissue_invasion=668; vascular_invasion=654; capsular_invasion=629; ptnm_stage=413; perineural_invasion_detailed=260
airway_invasion,3116,1477,1800,ete_on_imaging=700; tracheal_deviation=655; mass_effect=468; substernal_extension=455; vascular_encasement=233
dynamic_risk_response,53,25,25,ata_risk_category=19; surveillance_interval=14; disease_status=7; ata_response_category=6; treatment_decision=6
patient_decision_adherence,641,398,402,treatment_declined=209; surveillance_adherence=197; patient_preference=98; shared_decision=95; followup_gap=18
