domain_name,provenance_cols_present,entity_date_fill_pct,note_date_fill_pct,date_confidence_fill_pct
imaging,0,0.7137,1.0,0.9996
tirads_granular,0,0.6057,1.0,0.8229
labs,0,0.7662,1.0,0.9801
tg_kinetics,0,0.729,1.0,0.9935
pathology,0,0.7009,1.0,0.9997
synoptic_pathology_enrichment,0,0.5526,1.0,0.8421
rai_detailed,0,0.8688,1.0,1.0
rad_treatment,0,0.7279,1.0,0.9982
parathyroid_detail,0,0.8275,1.0,1.0
recurrence,0,0.7167,1.0,1.0
survival_followup,0,0.8262,1.0,1.0
cervical_ln_detail,0,0.5851,1.0,1.0
functional_outcomes,0,0.4371,1.0,1.0
past_medical_hx,0,0.3606,1.0,0.9952
past_surgical_hx,0,0.6999,1.0,1.0
presenting_symptoms,0,0.3513,1.0,1.0
physical_exam,0,0.7244,1.0,0.9826
vascular_invasion,0,0.9323,1.0,1.0
airway_invasion,0,0.6564,1.0,1.0
dynamic_risk_response,0,0.7451,1.0,1.0
patient_decision_adherence,0,0.621,1.0,0.9983
