domain_name,tier,qa_tier,parquet_stem,parquet_exists,parquet_path,canonical_output,linkage_anchor_family,is_sub_prompt
staging,v1,critical,note_entities_staging,False,,True,pathology,False
genetics,v1,critical,note_entities_genetics,False,,True,molecular,False
procedures,v1,standard,note_entities_procedures,False,,True,operative,False
operative_detail,v1,standard,note_entities_operative_detail,False,,True,operative,False
complications,v1,critical,note_entities_complications,False,,True,operative,False
medications,v1,standard,note_entities_medications,False,,True,followup,False
problem_list,v1,informational,note_entities_problem_list,False,,True,demographics,False
llm,v1_debug,debug,note_entities_llm,False,,False,audit,False
imaging,v2,standard,note_entities_llm_imaging,True,processed/output/v2_parquets/note_entities_llm_imaging.parquet,True,imaging,False
tirads_granular,v2,standard,note_entities_llm_tirads_granular,True,processed/output/v2_parquets/note_entities_llm_tirads_granular.parquet,True,imaging,False
us_nodule_dynamics,v2,standard,note_entities_llm_us_nodule_dynamics,True,processed/output/v2_parquets/note_entities_llm_us_nodule_dynamics.parquet,True,imaging,False
labs,v2,standard,note_entities_llm_labs,True,processed/output/v2_parquets/note_entities_llm_labs.parquet,True,followup,False
tg_kinetics,v2,standard,note_entities_llm_tg_kinetics,True,processed/output/v2_parquets/note_entities_llm_tg_kinetics.parquet,True,followup,False
pathology,v2,critical,note_entities_llm_pathology,True,processed/output/v2_parquets/note_entities_llm_pathology.parquet,True,pathology,False
synoptic_pathology_enrichment,v2,critical,note_entities_llm_synoptic_pathology_enrichment,True,processed/output/v2_parquets/note_entities_llm_synoptic_pathology_enrichment.parquet,True,pathology,False
rai_detailed,v2,critical,note_entities_llm_rai_detailed,True,processed/output/v2_parquets/note_entities_llm_rai_detailed.parquet,True,rai,False
rad_treatment,v2,standard,note_entities_llm_rad_treatment,True,processed/output/v2_parquets/note_entities_llm_rad_treatment.parquet,True,rai,False
parathyroid_detail,v2,standard,note_entities_llm_parathyroid_detail,True,processed/output/v2_parquets/note_entities_llm_parathyroid_detail.parquet,True,operative,False
recurrence,v2,critical,note_entities_llm_recurrence,True,processed/output/v2_parquets/note_entities_llm_recurrence.parquet,True,followup,False
survival_followup,v2,standard,note_entities_llm_survival_followup,True,processed/output/v2_parquets/note_entities_llm_survival_followup.parquet,True,followup,False
cervical_ln_detail,v2,standard,note_entities_llm_cervical_ln_detail,True,processed/output/v2_parquets/note_entities_llm_cervical_ln_detail.parquet,True,pathology,False
functional_outcomes,v2,informational,note_entities_llm_functional_outcomes,True,processed/output/v2_parquets/note_entities_llm_functional_outcomes.parquet,True,followup,False
past_medical_hx,v2,informational,note_entities_llm_past_medical_hx,True,processed/output/v2_parquets/note_entities_llm_past_medical_hx.parquet,True,demographics,False
past_surgical_hx,v2,informational,note_entities_llm_past_surgical_hx,True,processed/output/v2_parquets/note_entities_llm_past_surgical_hx.parquet,True,demographics,False
presenting_symptoms,v2,informational,note_entities_llm_presenting_symptoms,True,processed/output/v2_parquets/note_entities_llm_presenting_symptoms.parquet,True,demographics,False
physical_exam,v2,informational,note_entities_llm_physical_exam,True,processed/output/v2_parquets/note_entities_llm_physical_exam.parquet,True,demographics,False
vascular_invasion,v2,critical,note_entities_llm_vascular_invasion,True,processed/output/v2_parquets/note_entities_llm_vascular_invasion.parquet,True,pathology,False
airway_invasion,v2,standard,note_entities_llm_airway_invasion,True,processed/output/v2_parquets/note_entities_llm_airway_invasion.parquet,True,operative,False
frozen_section_detail,v2,standard,note_entities_llm_frozen_section_detail,True,processed/output/v2_parquets/note_entities_llm_frozen_section_detail.parquet,True,operative,False
dynamic_risk_response,v2,standard,note_entities_llm_dynamic_risk_response,True,processed/output/v2_parquets/note_entities_llm_dynamic_risk_response.parquet,True,followup,False
patient_decision_adherence,v2,informational,note_entities_llm_patient_decision_adherence,True,processed/output/v2_parquets/note_entities_llm_patient_decision_adherence.parquet,True,followup,False
recurrence__sub,v2,critical,note_entities_llm_recurrence_detailed,True,processed/output/v2_parquets/note_entities_llm_recurrence_detailed.parquet,False,followup,True
complications__sub,v1,critical,note_entities_llm_complications_rln_laryngoscopy,True,processed/output/v2_parquets/note_entities_llm_complications_rln_laryngoscopy.parquet,False,operative,True
medications__sub,v1,standard,note_entities_llm_medication_management,True,processed/output/v2_parquets/note_entities_llm_medication_management.parquet,False,followup,True
operative_detail__sub,v1,standard,note_entities_llm_operative_details,True,processed/output/v2_parquets/note_entities_llm_operative_details.parquet,False,operative,True
operative_detail__sub,v1,standard,note_entities_llm_operative_v2_enrichment,True,processed/output/v2_parquets/note_entities_llm_operative_v2_enrichment.parquet,False,operative,True
parathyroid_detail__sub,v2,standard,note_entities_llm_parathyroid_per_gland,True,processed/output/v2_parquets/note_entities_llm_parathyroid_per_gland.parquet,False,operative,True
UNCLAIMED,unknown,unknown,note_entities_llm_procedures,True,processed/output/v2_parquets/note_entities_llm_procedures.parquet,False,unknown,False
UNCLAIMED,unknown,unknown,note_entities_llm_medications,True,processed/output/v2_parquets/note_entities_llm_medications.parquet,False,unknown,False
UNCLAIMED,unknown,unknown,note_entities_llm_genetics,True,processed/output/v2_parquets/note_entities_llm_genetics.parquet,False,unknown,False
UNCLAIMED,unknown,unknown,note_entities_llm_problem_list,True,processed/output/v2_parquets/note_entities_llm_problem_list.parquet,False,unknown,False
UNCLAIMED,unknown,unknown,note_entities_llm_staging,True,processed/output/v2_parquets/note_entities_llm_staging.parquet,False,unknown,False
UNCLAIMED,unknown,unknown,note_entities_llm_complications,True,processed/output/v2_parquets/note_entities_llm_complications.parquet,False,unknown,False
UNCLAIMED,unknown,unknown,note_entities_llm_molecular_thyroseq_afirma,True,processed/output/v2_parquets/note_entities_llm_molecular_thyroseq_afirma.parquet,False,unknown,False
UNCLAIMED,unknown,unknown,note_entities_llm_combined,True,processed/output/v2_parquets/note_entities_llm_combined.parquet,False,unknown,False
