flag_column,source_column,source_available,true_count,sample_n,sample_marker_match_n,sample_marker_match_rate,mechanical_match_rate,review_required,notes
nlp_adenomatoid_nodule,adenomatoid_nodules,True,1177,30,30,1.0,1.0,False,"Structured path_synoptics marker; 30-row random sample rule resolves to source marker, PHI text not exported"
nlp_atypical_adenoma,atypical_adenomas,True,47,30,30,1.0,1.0,False,"Structured path_synoptics marker; 30-row random sample rule resolves to source marker, PHI text not exported"
nlp_autoimmune_thyroiditis,autoimmune_thyroiditis,True,1,1,1,1.0,1.0,False,"Structured path_synoptics marker; 30-row random sample rule resolves to source marker, PHI text not exported"
nlp_c_cell_hyperplasia,c_cell_hyperplasia,True,53,30,30,1.0,1.0,False,"Structured path_synoptics marker; 30-row random sample rule resolves to source marker, PHI text not exported"
nlp_chronic_inflammation,chronic_inflammation,True,257,30,30,1.0,1.0,False,"Structured path_synoptics marker; 30-row random sample rule resolves to source marker, PHI text not exported"
nlp_chronic_lymphocytic_thyroiditis,chronic_lymphocytic_thyroiditis,True,976,30,30,1.0,1.0,False,"Structured path_synoptics marker; 30-row random sample rule resolves to source marker, PHI text not exported"
nlp_chronic_thyroiditis,chronic_thyroiditis,True,148,30,30,1.0,1.0,False,"Structured path_synoptics marker; 30-row random sample rule resolves to source marker, PHI text not exported"
nlp_colloid_cyst,colloid_cyst,True,41,30,30,1.0,1.0,False,"Structured path_synoptics marker; 30-row random sample rule resolves to source marker, PHI text not exported"
nlp_colloid_nodule,colloid_nodule,True,380,30,30,1.0,1.0,False,"Structured path_synoptics marker; 30-row random sample rule resolves to source marker, PHI text not exported"
nlp_cystic_change,cystic_degeneration,True,144,30,30,1.0,1.0,False,"Structured path_synoptics marker; 30-row random sample rule resolves to source marker, PHI text not exported"
nlp_de_quervains_thyroiditis,de_quervain_thyroiditis_granulomatous_thyroiditis_or_giant_cell_thyroiditis,True,13,13,13,1.0,1.0,False,"Structured path_synoptics marker; 30-row random sample rule resolves to source marker, PHI text not exported"
nlp_follicular_adenoma,follicular_adenoma,True,924,30,30,1.0,1.0,False,"Structured path_synoptics marker; 30-row random sample rule resolves to source marker, PHI text not exported"
nlp_follicular_nodule,follicular_nodule,True,37,30,30,1.0,1.0,False,"Structured path_synoptics marker; 30-row random sample rule resolves to source marker, PHI text not exported"
nlp_granulomatous_thyroiditis,de_quervain_thyroiditis_granulomatous_thyroiditis_or_giant_cell_thyroiditis,True,13,13,13,1.0,1.0,False,"Structured path_synoptics marker; 30-row random sample rule resolves to source marker, PHI text not exported"
nlp_graves,graves,True,577,30,30,1.0,1.0,False,"Structured path_synoptics marker; 30-row random sample rule resolves to source marker, PHI text not exported"
nlp_graves_disease,graves,True,577,30,30,1.0,1.0,False,"Structured path_synoptics marker; 30-row random sample rule resolves to source marker, PHI text not exported"
nlp_hashimotos,hashimoto_thyroiditis,True,251,30,30,1.0,1.0,False,"Structured path_synoptics marker; 30-row random sample rule resolves to source marker, PHI text not exported"
nlp_hashimotos_thyroiditis,hashimoto_thyroiditis,True,251,30,30,1.0,1.0,False,"Structured path_synoptics marker; 30-row random sample rule resolves to source marker, PHI text not exported"
nlp_hurthle_cell_adenoma,hurthle_cell_oncocytic_adenoma,True,268,30,30,1.0,1.0,False,"Structured path_synoptics marker; 30-row random sample rule resolves to source marker, PHI text not exported"
nlp_hurthle_cell_change,hurthle_cell_change,True,228,30,30,1.0,1.0,False,"Structured path_synoptics marker; 30-row random sample rule resolves to source marker, PHI text not exported"
nlp_hurthle_cell_metaplasia,hurthle_cell_metaplasia,True,102,30,30,1.0,1.0,False,"Structured path_synoptics marker; 30-row random sample rule resolves to source marker, PHI text not exported"
nlp_hurthle_cell_nodule,hurthle_cell_nodule,True,65,30,30,1.0,1.0,False,"Structured path_synoptics marker; 30-row random sample rule resolves to source marker, PHI text not exported"
nlp_hyalinizing_trabecular_tumor,hyalinizing_trabecular_tumor_adenoma,True,9,9,9,1.0,1.0,False,"Structured path_synoptics marker; 30-row random sample rule resolves to source marker, PHI text not exported"
nlp_hyperplasia,hyperplastic_change_follicular_hyperplasia,True,164,30,30,1.0,1.0,False,"Structured path_synoptics marker; 30-row random sample rule resolves to source marker, PHI text not exported"
nlp_hyperplastic_nodules,hyperplastic_nodules,True,333,30,30,1.0,1.0,False,"Structured path_synoptics marker; 30-row random sample rule resolves to source marker, PHI text not exported"
nlp_lymphocytic_thyroiditis,lymphocytic_thyroiditis,True,1067,30,30,1.0,1.0,False,"Structured path_synoptics marker; 30-row random sample rule resolves to source marker, PHI text not exported"
nlp_mng,multinodular_goiter,True,6208,30,30,1.0,1.0,False,"Structured path_synoptics marker; 30-row random sample rule resolves to source marker, PHI text not exported"
